coffee_id,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method
1,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,April 4 2015,metad plc,,,Washed / Wet
2,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,April 4 2015,metad plc,Other,,Washed / Wet
3,Guatemala,"san marcos barrancas ""san cristobal cuch",,,,,1700,,,5,1,Specialty Coffee Association,,May 31 2010,grounds for health admin,Bourbon,,
4,Ethiopia,yidnekachew dabessa coffee plantation,,wolensu,,yidnekachew debessa coffee plantation,2000,oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,METAD Agricultural Development plc,2014,March 26 2015,yidnekachew dabessa,,,Natural / Dry
5,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,April 4 2015,metad plc,Other,,Washed / Wet
6,Brazil,,,,,,,,,100,30 kg,Specialty Coffee Institute of Asia,2013,September 3 2013,ji-ae ahn,,,Natural / Dry
7,Peru,,,hvc,,richmond investment-coffee department,,,HVC,100,69 kg,Specialty Coffee Institute of Asia,2012,September 17 2012,hugo valdivia,Other,,Washed / Wet
8,Ethiopia,aolme,,c.p.w.e,010/0338,,1635,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,Mar-10,September 2 2010,ethiopia commodity exchange,,,
9,Ethiopia,aolme,,c.p.w.e,010/0338,,1635,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,Mar-10,September 2 2010,ethiopia commodity exchange,,,
10,Ethiopia,tulla coffee farm,,tulla coffee farm,2014/15,diamond enterprise plc,1822.5,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development plc,2014,March 30 2015,diamond enterprise plc,Other,,Natural / Dry
11,Ethiopia,fahem coffee plantation,,,,fahem coffee plantation,1905,oromia,Fahem Coffee Plantation,300,60 kg,METAD Agricultural Development plc,2014,March 27 2015,mohammed lalo,,,Natural / Dry
12,United States,el filo,,,unknown,coffee quality institute,1872,antioquia,Alfredo De Jesús López Pérez,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
13,United States,los cedros,,,unknown,coffee quality institute,1943,antioquia,Jorge Walter Restrepo,10,1 kg,Almacafé,2014,March 13 2015,cqi q coffee sample representative,Other,,Washed / Wet
