coffee_id,Moisture,Color,Category One Defects,Category Two Defects,Quakers
#261473,11.80%,Green,0,3,0
#984405,11.70%,Green,4,12,0
#693585,10.60%,greenish,0,1,0
#274853,12.40%,Greenish,1,9,0
#154686,11.10%,pale yellow,0,1,2
#127584,9.20%,Greenish,0,0,0
#125800,10.20%,Pale Yellow,0,1,1
#356700,10%,Bluish-Green,0,0,0
#150681,9.10%,Green,0,0,0
#744798,8.40%,Green,0,0,0
#329719,12.20%,Bluish-Green,0,2,0
#443473,11.90%,Green,0,0,0
#275002,13.10%,Green,0,0,0
#183019,11.20%,Green,0,5,1
#947066,10.40%,Greenish,0,11,1
#677657,10.10%,Green,0,3,0
#434200,10.10%,Blue-Green,0,0,0
#735285,11.60%,Green,0,0,2
#191702,0%,Green,0,3,0
#852126,10.70%,Blue-Green,0,1,0
#913173,13.50%,greenish,0,0,0
#128172,9.60%,Green,0,1,0
#126358,11.50%,brownish,0,1,0
#989481,11.10%,Green,0,5,0
#201057,12.30%,Yellow-Green,0,16,0
#918443,9.70%,Greenish,0,0,0
#917199,11.40%,Green,0,0,0
#138975,10.90%,brownish,0,2,0
#431038,10.40%,Greenish,0,8,0
#526397,9.60%,Green,0,1,0
#914711,11.60%,Green,0,4,0
#814258,10.50%,Bluish-Green,0,3,0
#442273,11.30%,Green,0,5,1
#233123,11.80%,greenish,0,1,1
#764728,9.70%,Greenish,0,2,0
#748900,11.80%,Blue-Green,0,0,0
#946237,11.90%,greenish,0,0,1
#102399,9.60%,Green,0,2,0
#106719,11.80%,brownish,0,7,0
#449544,13.10%,Bluish-Green,0,1,0
#405157,8.90%,Blue-Green,0,0,0
#689252,11.50%,Greenish,0,3,1
#300720,11.90%,Green,2,1,0
#280845,10.20%,yellow-green,0,0,0
#241548,11.60%,Yellow- Green,0,2,3
#915144,10%,Green,0,4,0
#470272,11.80%,Yellow-Green,0,5,0
#249591,13.30%,Green,0,4,0
#864968,11.80%,pale yellow,0,1,0
#995570,10.50%,Green,5,1,2
#421693,9.60%,Green,0,2,0
#370112,11.20%,Yellow Green,0,0,0
#146278,13%,Greenish,1,0,0
#989796,11.80%,Green,0,2,1
#895349,8.40%,Blue-Green,0,2,0
#655504,10.60%,Green,0,0,0
#794972,10.10%,Green,0,0,0
#211361,9.80%,Green,0,0,0
#876726,10.70%,pale yellow,0,0,0
#547819,8.40%,Green,0,2,0
#840458,11.30%,Green,0,2,0
#295641,11.70%,Blue-Green,0,1,0
#451085,11.40%,Bluish-Green,0,0,0
#322731,11.80%,Bluish-Green,0,0,0
#494650,10.20%,Green,0,0,0
#112317,12%,Green,0,10,7
#142692,10.80%,Green,0,1,0
#539926,10.50%,Bluish-Green,0,0,0
#958749,11.70%,greenish,0,3,1
#824584,11.20%,Green,0,2,0
#886281,10.60%,Green,1,5,0
#348647,9.70%,Bluish-Green,0,0,0
#105052,8.10%,Greenish,0,3,0
#656152,11.50%,Blue-Green,0,2,1
#175322,9.80%,Green,0,0,0
#617945,10.30%,yellow-green,0,0,0
#934594,8.20%,Green,0,1,0
#594815,10.50%,Green,1,8,2
#847918,12.50%,Bluish-Green,0,0,0
#571059,11.60%,greenish,0,2,2
#709384,10.30%,Greenish,0,1,0
#663913,11.30%,Green,0,0,0
#208327,11.20%,Green,0,4,0
#772299,11.50%,Green,0,3,0
#801129,11.30%,Pale Yellow,0,2,0
#275886,11.20%,yellow-green,0,0,0
#638524,11.30%,Green,0,2,2
#448890,11.10%,yellow-green,0,0,0
#587946,11.80%,Green,2,2,0
#531106,9%,Yellow-green,0,0,0
#793199,9.70%,Green,0,4,2
#553743,8.50%,Green,0,0,0
#223636,11.60%,Green,2,1,0
#625390,10.50%,yellowish,0,5,0
#126973,10.40%,Green,0,0,0
#300209,11.40%,Greenish,0,2,2
#153864,10.60%,greenish,0,1,2
#814850,11%,brownish,0,1,0
#829408,10.50%,Bluish-Green,0,7,8
#707378,11.50%,greenish,0,3,1
#826756,11.20%,Green,0,5,0
#483718,11%,greenish,0,3,3
#181854,11.50%,Bluish-Green,0,7,10
#242592,11.80%,greenish,0,11,6
#420582,11.60%,greenish,0,2,1
#319783,11.40%,Green,0,4,0
#723401,10.40%,Green,0,12,2
#217253,11.60%,Green,0,11,9
#346202,10%,Greenish,0,0,0
#531918,10.50%,Blue-Green,0,0,0
#978770,11.60%,yellowish,0,0,0
#367114,11.30%,brownish,0,2,0
#928398,9.80%,Browish-Green,0,5,0
#948279,10.40%,Green,0,0,0
#127725,10.60%,Bluish-Green,0,0,0
#717129,9.10%,Green,0,2,0
#300191,11.30%,Green,2,3,0
#741300,10.20%,Blue-Green,0,0,0
#888419,10.60%,Green,0,0,0
#829336,9.30%,Green,0,0,0
#460896,10.40%,yellowish,0,2,0
#389965,11.40%,Bluish-Green,0,0,0
#894623,11.30%,Green,0,0,0
#778206,10.80%,Green,0,0,0
#611011,12.30%,Yellow Green,0,4,3
#917098,9.90%,Green,0,3,2
#736196,9.50%,Bluish-Green,0,0,0
#387213,9.20%,Greenish,0,1,0
#423394,9.40%,Greenish,0,1,1
#197220,11.30%,Green,0,0,0
#259403,10.30%,Bluish-Green,0,0,0
#877064,11.80%,Green,0,0,0
